Line No.,Newark Part No.,RoHS Compliant?,Your Part No,Notes,Qty,Manufacturer Part Number,Manufacturer Name,Manufacturer / Description,Availability,Unit Price,Line Price,Discount Price
1,98K9166,RoHS: YES / PHTHALATES: YES,,,2.0,"400PT160",PROWAVE,"PROWAVE  Transducer, Ultrasonic, 117 dB",754,2.9200,5.84,,
2,12H8386,RoHS: YES / PHTHALATES: YES,,,2.0,"282834-2",BUCHANAN - TE CONNECTIVITY,"BUCHANAN - TE CONNECTIVITY  Wire-To-Board Terminal Block, 2.54 mm, 2 Positions, 30 AWG, 16 AWG, 1.4 mm², Screw",2016,1.1700,2.34,,
3,12H8387,RoHS: YES / PHTHALATES: YES,,,1.0,"282834-3",BUCHANAN - TE CONNECTIVITY,"BUCHANAN - TE CONNECTIVITY  Wire-To-Board Terminal Block, 2.54 mm, 3 Positions, 30 AWG, 16 AWG, 1.4 mm², Screw",165,2.4800,2.48,,
4,96M0970,RoHS: YES / PHTHALATES: YES,,,50.0,"SA115E334MAR",AVX,"AVX  Multilayer Ceramic Capacitor, 0.33 µF, 50 V, SpinGuard SA Series, ± 20%, Axial Leaded, Z5U",4234,0.0990,4.95,,
5,97K4396,RoHS: YES / PHTHALATES: YES,,,20.0,"MCFYU6104Z6",MULTICOMP PRO,"MULTICOMP PRO  Ceramic Disc Capacitor, 0.1 µF, 50 V, MCFY Series, +80%, -20%, Y5V, 5 mm",2907,0.1600,3.20,,
6,22T0178,RoHS: YES / PHTHALATES: YES,,,20.0,"MC1210N220J102CT",MULTICOMP PRO,"MULTICOMP PRO  SMD Multilayer Ceramic Capacitor, 22 pF, 1 kV, 1210 [3225 Metric], ± 5%, C0G / NP0, MC Series",3586,0.0670,1.34,,
7,90R0672,RoHS: YES / PHTHALATES: YES,,,2.0,"SLF6028T-100M1R3-PF",TDK,"TDK  Surface Mount Power Inductor, SLF Series, 10 µH, 1.3 A, 0.0532 ohm, ± 20%",433,1.3300,2.66,,
8,08N8111,RoHS: YES / PHTHALATES: YES,,,6.0,"2N3904",MULTICOMP PRO,"MULTICOMP PRO  Bipolar (BJT) Single Transistor, NPN, 40 V, 300 MHz, 625 mW, 200 mA, 100 hFE",33383,0.2810,1.69,,
9,08N8112,RoHS: YES / PHTHALATES: YES,,,6.0,"2N3906",MULTICOMP PRO,"MULTICOMP PRO  Bipolar (BJT) Single Transistor, High Speed Switching, PNP, 40 V, 250 MHz, 625 mW, 200 mA, 100 hFE",16412,0.2810,1.69,,
10,38K5162,RoHS: YES / PHTHALATES: YES,,,20.0,"MF50 1K5",MULTICOMP PRO,"MULTICOMP PRO  Through Hole Resistor, 1.5 kohm, MF50 Series, 500 mW, ± 1%, Axial Leaded, 350 V",4194,0.0140,0.28,,
11,01C0907,RoHS: NO / PHTHALATES: TBA,,,20.0,"RN60D5000FB14",VISHAY,"VISHAY  Through Hole Resistor, 500 ohm, RN Series, 250 mW, ± 1%, Axial Leaded, 300 V",Out of Stock,0.3160,6.32,,
12,84R1433,RoHS: YES / PHTHALATES: YES,,,20.0,"CPF1500R00FKE14",VISHAY,"VISHAY  Through Hole Resistor, 500 ohm, CPF Series, 1 W, ± 1%, Axial Leaded, 250 V",1776,0.8610,17.22,,
13,45X4643,RoHS: YES / PHTHALATES: YES,,,20.0,"MCMF006FF1002A50",MULTICOMP PRO,"MULTICOMP PRO  Through Hole Resistor, 10 kohm, MCMF Series, 600 mW, ± 1%, Axial Leaded, 250 V",20353,0.0080,0.16,,
14,38K5333,RoHS: YES / PHTHALATES: YES,,,20.0,"MF25 330R",MULTICOMP PRO,"MULTICOMP PRO  Through Hole Resistor, 330 ohm, MF25 Series, 250 mW, ± 1%, Axial Leaded, 250 V",11607,0.0090,0.18,,
15,38K5272,RoHS: YES / PHTHALATES: YES,,,20.0,"MF25 100K",MULTICOMP PRO,"MULTICOMP PRO  Through Hole Resistor, 100 kohm, MF25 Series, 250 mW, ± 1%, Axial Leaded, 250 V",44176,0.0090,0.18,,
16,89K7662,RoHS: YES / PHTHALATES: YES,,,2.0,"46202LRX",SWITCHCRAFT/CONXALL,"SWITCHCRAFT/CONXALL  Slide Switch, SPST, 46200R Series, 3 A, 125 V",96,2.0500,4.10,,
17,75K6677,RoHS: YES / PHTHALATES: YES,,,2.0,"ADTSM65NVTR",APEM,"APEM  Tactile Switch, SPST-NO, ADTSM Series, Top Actuated, Surface Mount, Round Button, 160 gf",1074,0.3880,0.78,,
18,98K4060,RoHS: YES / PHTHALATES: YES,,,2.0,"ZSR500G",DIODES INC.,"DIODES INC.  Fixed LDO Voltage Regulator, 9V to 20V In, 1.2V Dropout, 5V/200mA Out, SOT-223-3",1590,1.4900,2.98,,
19,68T2944,RoHS: YES / PHTHALATES: YES,,,1.0,"ATMEGA328P-PU",MICROCHIP,"MICROCHIP  8 Bit MCU, Low Power High Performance, AVR ATmega Family ATmega328 Series Microcontrollers, 20 MHz",2169,2.7700,2.77,,
20,58T1826,RoHS: YES / PHTHALATES: YES,,,2.0,"FOXSLF/160-20-BAG200",FOX ELECTRONICS,"FOX ELECTRONICS  Crystal, Through Hole, 16 MHz, Through Hole, 11.35mm x 4.65mm, 50 ppm, 20 pF, 30 ppm",927,0.4490,0.90,,

,,,,,,,Sub Total,62.05
,,,,,,,Merchandise Total,62.05
,,,,,,,Shipping,0.00
,,,,,,,Tax,Unknown
,,,,,,,Total,62.05
